Molecule ID	Compound Name	SMILES	PubChem ID	Class	Subclass	Species	References	PMIDs	Links	Bioactivities
Mol_03267	Abietic acid	CC(C1=CC2=CC[C@@H]3[C@]([C@H]2CC1)(C)CCC[C@@]3(C)C(=O)O)C	10569	Terpenoid	Abietane diterpene	Cedrus atlantica; Juniperus species; Croton megalocarpoides	Abietane diterpenes from the cones of Cedrus atlantica; Oxygenated diterpenes and other constituents from Moroccan Juniperus phoenicea and Juniperus thurifera var. africana; New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis and M. G. Gilbert.	15649517; 15381415; 27286332	10.1016/j.phytochem.2004.10.017; 10.1016/j.phytochem.2004.07.021; https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0042-108857	
Mol_08337	Abyssinin i	COc1cc(cc2c1OC(C)(C)C=C2)C1CC(=O)c2c(O1)cc(cc2O)O	44424650	Flavonoid	Flavanone	Erythrina abyssinica; Erythrina abyssinica	Isoprenylated flavonoids from the stem bark of Erythrina abyssinica.; Structural Elucidation of New Flavanones Isolated from Erythrina abyssinica.	17489632; 17489632	10.1021/np060477%2B; 10.1021/np960440x	
Mol_08332	Abyssinin ii	COc1cc(cc(c1O)CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O	442457	Flavonoid	Flavanone	Erythrina abyssinica; Erythrina abyssinica	Isoprenylated flavonoids from the stem bark of Erythrina abyssinica.; Structural Elucidation of New Flavanones Isolated from Erythrina abyssinica.	17489632; 17489632	10.1021/np060477%2B; 10.1021/np960440x	
Mol_08316	Abyssinin iii	CC(=CCc1c(cc(c(c1CC=C(C)C)O)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C	15293189	Flavonoid	Chalcone	Erythrina abyssinica; Erythrina abyssinica; Erythrina abyssinica	Anti-plasmodial flavonoids from the stem bark of Erythrina abyssinica.; Structural Elucidation of New Flavanones Isolated from Erythrina abyssinica.; 8-Methoxyneorautenol and radical scavenging flavonoids from Erythrina abyssinica.	15504437; 17489632; 17489632	10.1016/j.phytochem.2004.08.050; 10.1021/np960440x; https://www.ajol.info/index.php/bcse/article/viewFile/44963/28454	anti-plasmodial; radical scavenging towards 2;2-diphenyl-1-picrylhydrazyl radical (dpph)
Mol_08317	Abyssinone iv	CC(=CCc1cc(cc(c1O)CC=C(C)C)C1CC(=O)c2c(O1)cc(cc2)O)C	4063835	Flavonoid	Flavanone	Erythrina abyssinica; Erythrina abyssinica; Erythrina abyssinica; Erythrina abyssinica	Anti-plasmodial flavonoids from the stem bark of Erythrina abyssinica.; 8-Methoxyneorautenol and radical scavenging flavonoids from Erythrina abyssinica.; Flavonoids and isoflavonoids with antiplasmodial activities from the root bark of Erythrina abyssinica.; Ethnobotanical drug discovery based on medicine men's trials in the African savanna: screening of east African plants for antimicrobial activity II.	15504437; 17489632; 12898424; 8254349	10.1016/j.phytochem.2004.08.050; https://www.ajol.info/index.php/bcse/article/viewFile/44963/28454; https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2003-41119; 10.1021/np50099a012	anti-plasmodial; radical scavenging towards 2;2-diphenyl-1-picrylhydrazyl radical (dpph); antimicrobial
Mol_08013	Acetyl aleurotolic acid	CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]2(C1=CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C)C	161616	Terpenoid	Triterpenoid	Croton megalocarpoides; Croton alienus; Neoboutonia macrocalyx; Erigeron floribundus; Croton oligandrus; Croton oligandrus; Discoglypremna caloneura; Neoboutonia macrocalyx; Alchornea cordifolia; Croton macrostachys	New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis and M. G. Gilbert.; Alienusolin, a new 4α-deoxyphorbol ester derivative, and crotonimide C, a new glutarimide alkaloid from the Kenyan Croton alienus.; Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax.; Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant.; Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines; Crotoliganfuran, a new clerodane-type furano-diterpenoid from <i>Croton oligandrus</i> Pierre ex Hutch.; A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities.; Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae); Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches.; Diterpenoids from the roots of Croton macrostachys	27286332; 24356872; 25535086; 25632460; 29438356; 31148485; 33624570; 30886338	https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0042-108857; https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0033-1351044; 10.1016/j.jep.2014.12.018; 10.1177/1934578X1400901207; 10.3390/molecules23020410; 10.1080/14786419.2019.1613399; 10.1080/14786419.2021.1890073; 10.1016/j.phytol.2015.04.026; 10.1038/s41598-019-41403-x; 10.1016/s0031-9422(00)00166-7	anti-plasmodial; cytotoxicity; cytotoxic
Mol_09557	Acetylmaesaquinone	CCCC/C=C/CCCCCCCCCCCCCC1=C(OC(=O)C)C(=O)C(=C(C1=O)OC(=O)C)C	6387258	Quinone	Benzoquinone	Maesa lanceolata	Distribution of benzoquinone pigments in Kenyan Myrsinaceae.	15186932	https://www.ajol.info/index.php/bcse/article/viewFile/79494/69783	
Mol_09843	Acetylmaesaquinone	CCCC/C=C/CCCCCCCCCCCCCC1=C(O)C(=O)C(=C(C1=O)OC(=O)C)C	44631006	Quinone	Benzoquinone	Maesa lanceolata	Benzoqidnone pigments in kenyan myrsinaceae: new 2, 5-dlhydroxyalkyl derivatives from Maesa lanceolata.	5648113	https://www.ajol.info/index.php/bcse/article/download/79189/69500	
Mol_09477	Aegicerin	O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@]23[C@@]1(C)CC(=O)[C@@]1([C@H]3CC(C)(C)CC1)CO2)C)C	15558423	Terpenoid	Triterpenoid	Embelia schimperi; Embelia schimperi	Pentacyclic triterpenoids from Embelia schimperi.; Oleanane-type triterpenes of Embelia schimperi leaves.	12560028; 16973190	10.1016/S0031-9422(02)00619-2; 10.1016/j.phytochem.2006.07.025	antibacterial
Mol_08555	Afrormosin	COc1ccc(cc1)c1coc2c(c1=O)cc(c(c2)O)OC	5281704	Flavonoid	Isoflavone	Millettia leucantha; Taverniera abyssinica; Angylocalyx oligophyllus; Millettia macrophylla	4'-Prenyloxyderrone from the stem bark of Millettia oblata ssp. teitensis and the antiplasmodial activities of isoflavones from some Millettia species.; Isoflavonoids from Taverniera abyssinica.; Phytochemical analysis of the stems of Angylocalyx oligophyllus (Baker) Baker f. (Fabaceae); Estrogenic and cytotoxic potentials of compounds isolated from Millettia macrophylla Benth (Fabaceae): towards a better understanding of its underlying mechanisms.	14561074; 19173126; 27784319	10.1016/j.phytol.2014.02.001; https://www.ajol.info/index.php/bcse/article/viewFile/79574/69854; 10.1016/j.bse.2022.104382; 10.1186/s12906-016-1385-5	anti-plasmodial
